[GPU7] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU4] Epoch 19 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 10 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 15 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU3] Epoch 19 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 10 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 15 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU1] Epoch 19 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 0 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 10 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 15 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU6] Epoch 19 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 0 | BatchSize: 32 | Steps: 8
Epoch 0 | Training checkpoint saved at checkpoint.pt
[GPU0] Epoch 1 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 2 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 3 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 4 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 5 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 6 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 7 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 8 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 9 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 10 | BatchSize: 32 | Steps: 8
Epoch 10 | Training checkpoint saved at checkpoint.pt
[GPU0] Epoch 11 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 12 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 13 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 14 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 15 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 16 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 17 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 18 | BatchSize: 32 | Steps: 8
[GPU0] Epoch 19 | BatchSize: 32 | Steps: 8
